Jon,s,Mechanics (Physics 1),,,,,,,,,
Jon,s,Electricity and Magnetism (Physics 2),,,,,,,,,
Nick,u,m,$\textrm{m}$,meter,base,base,"metre,length",,,,
Nick,u,kg,$\textrm{kg}$,kilogram,base,base,,,,,
Nick,u,s,$\textrm{s}$,second,base,base,,,,,
Nick,u,mol,$\textrm{mol}$,mole,base,base,,,,,
Nick,u,K,$\textrm{K}$,Kelvin,base,base,"degrees,kevin",,,,
Charlie,u,C,$\textrm{C}$,Celsius,base,base,"degrees,centigrade",,,,
Charlie,u,A,$\textrm{A}$,Ampere,base,base,,,,,
Charlie,u,J,$\textrm{J}$,Joule,$ \frac{ \textrm{kg} \cdot \textrm{m}^2}{ \textrm{s}^2 } $,"meter,second,kilogram",,,,,
Charlie,u,N,$\textrm{N}$,Newton,$\frac{ \textrm{kg} \cdot {\textrm{m}}}{ \textrm{s}^2 }$,"meter,second,kilogram",,,,,
Nick,u,C,$\textrm{C}$,Coulomb,$A \cdot s$,"ampere,second",charge,,,,
Charlie,u,V,$\textrm{V}$,Volt,$ \frac{ \textrm{J}}{ \textrm{C} } $,"Joule,coulomb","voltage,potential difference,potential,emf,electromotive force",,,,
Charlie,u,H,$\textrm{H}$,Henry,$\frac{ \textrm{V} \cdot \textrm{ s } }{\textrm{A}} $,"volt,second,ampere",,,,,
Charlie,u,omega,$\Omega$,Ohm,$\frac{ \textrm{V} }{ \textrm{A} }$,"volt,ampere",resistance,,,,
Charlie,u,Hz,$\textrm{Hz}$,Hertz,$ \frac{ 1 }{ \textrm{ s } } $,second,,,,,
Charlie,u,Pa,$\textrm{Pa}$,Pascal,$ \frac{ \textrm{N} }{ \textrm{m}^2 } $,"Newton,meter",,,,,
Charlie,u,T,$\textrm{T}$,Tesla,$ \frac{ \textrm{Wb} }{ \textrm{m}^2 } = \frac{ N \cdot m }{ A } $,"Newton,ampere",,,,,
Charlie,u,rad,$\textrm{rad}$,Radian,base,base,"rad,angle",,,,
Charlie,u,f,$\textrm{F}$,Farad,$ \frac{ coulomb }{ volt } $,"coulomb,volt",,,,,
Charlie,u,W,$\textrm{W}$,Watt,$ \frac{ \textrm{J} }{ \textrm{s} } $,"Joule,second",power,,,,
Charlie,u,eV,$\textrm{eV}$,Electron Volt,${\textrm{J}}$,Joule,,,,,
Charlie,v,F,$\vec{F}$,Force,Mechanics,,Newton,$ \textrm{N} $,,,
Nick,v,m,$\textrm{m}$,Mass,All,"kg,g,lb,weight",kilogram,$ \textrm{kg} $,,,
Nick,v,x,$\vec{x}$,Position,All,"distance,length",meter,$ \textrm{m} $,,,
Charlie,v,c,$c$,Speed of Light,All,"c,speed of light,lightspeed","meter,second",$ \frac{ \textrm{m} }{ \textrm{s} } $,,,
Charlie,v,G,$\textrm{G}$,Newtonian Gravitational Constant,Mechanics,"G,Gravity Constant","Newton,kilogram,second",$ \frac{ \textrm{N} \cdot \textrm{m}^2 }{ \textrm{kg}^2 } $,,,
Charlie,v,N_A,$N_A$,Avogadro's Number,All,"avogadro's number,avogadro's constant,avogadro,avocado",mole,$ \frac{1}{ \textrm{mol} } $,,,
Charlie,v,e_0,$\epsilon_0$,Electric Constant,Electricity and magnetism,"e,e0","Farad,meter",$ \frac{ \textrm{F} }{ \textrm{m} } $,,,
