Jon,s,Mechanics (Physics 1),,,,,,,,,
Jon,s,Electricity and Magnetism (Physics 2),,,,,,,,,
Nick,c,Physics: Volume 1,5,"R. Resnick, D. Halliday, K. Krane","John Wiley & Sons, Inc.",New York,2002,1,,,
Nick,c,Physics: Volume 2,5,"D. Halliday, R. Resnick, K. Krane","John Wiley & Sons, Inc.",New York,2002,2,,,
Nick,u,m,$\textrm{m}$,meter,"Historically defined as one ten-millionth of the distance between the North Pole and Paris, the modern meter is the length traveled by a light wave in vacuum in 1/299,792,458 seconds.",base,base,,1,,
Nick,u,kg,$\textrm{kg}$,kilogram,"Historically, a kilogram was defined as the mass of one cubic liter of water. The mass of a kilogram today is defined as the mass of a platinum-iridium cylinder internationally agreed-upon to be one kilogram.",base,base,,1,,
Nick,u,s,$\textrm{s}$,second,"The second is defined as the duration of 9,192,631,770 vibrations of radiation of a certain cesium atom. On a less formal level, we think of a second as 1/60th of a minute, 1/3600 of an hour, etc.",base,base,,1,,
Nick,u,mol,$\textrm{mol}$,mole,A mole is defined as 6.02214199 * 10^23 atoms. This is known as Avogadro's number.,base,base,,1,,
Nick,u,K,$\textrm{K}$,Kelvin,"One Kelvin is defined as 1/273.16 the temperature of the triple point of water, at which solid, liquid, and gaseous water coexist in happy equilibrium. This is equivalent to 0 degrees Celsius or 32 degrees Fahrenheit. A particle at 0K has zero thermal motion, an unattainable state.",base,base,,1,,
Charlie,u,C,$\textrm{C}$,Celsius,,base,base,"degrees,centigrade",1,,
Charlie,u,A,$\textrm{A}$,Ampere,,base,base,,1,,
Charlie,u,J,$\textrm{J}$,Joule,,$ \frac{ \textrm{kg} \cdot \textrm{m}^2}{ \textrm{s}^2 } $,"meter,second,kilogram",,1,,
Charlie,u,N,$\textrm{N}$,Newton,,$ \frac{ \textrm{kg} \cdot {\textrm{m}}{ \textrm{s}^2 } $,"meter,second,kilogram",,1,,
Nick,u,C,$\textrm{C}$,Coulomb,"The Coulomb is a unit of electrical charge, equal to one Ampere second.",$A \cdot s$,"ampere,second",,1,,
Jon,u,F,$\textrm{F}$,Farad,,base,base,,1,,
Jon,u,Hertz,,Hertz,,$ \frac{1:\textrm{s}} $,second,,1,,
Jon,u,H,$\textrm{H}$,Henry,,base,base,,1,,
Charlie,v,F,$\vec{F}$,force,"Any Influence that causes an object to undergo a certain change, either concerning its movement, direction, or geometrcial construction. A force can cause an object with mass to change velocity, deform, or both. Force can intuitively be thought of as a push or a pull. A force has both a magnitude and a direction making it a vectore quantity.",Mechanics,none,Newton,$ \textrm{N} $,1,
Nick,v,m,$\textrm{m}$,mass,"Mass is an intrinsic property of matter. If something exists and occupies a volume, it has mass. Unlike weight, mass is independent of gravity. If you weighed yourself on Earth and again on the Moon, you would notice a large decrease in your weight, because the Moon has a much weaker gravitational pull, but your mass would remain unchanged.",All,"kg,g,lb,weight",kilogram,$ \textrm{kg} $,1,
Nick,v,x,$\vec{x}$,position,"Position is a measure of distance. It is defined as the displacement between an object and the origin, which you're usually allowed to place wherever you want. Displacement is a vector, which means it must have an associated direction.",All,"distance,length",meter,$ \textrm{m} $,1,
Charlie,v,c,$c$,speed of light,The speed of light in vaccum is a universal constant which is 2.998 x 10^8 and is the speed at which all electromagnetic radiation travels in vaccum,All,"c,speed of light,lightspeed,","meter,second",$ \frac{ \textrm{m} }{ \textrm{s} } $,1,
Charlie,v,G,$\textrm{G}$,Newtonian Gravitational Constant,"The Gravitational constant, approximately 6.67 x 10^(-11) N(m/kg)^2, is an empirical physical constant used in calculating the gravitational force between two bodies.",Mechanics,"G,Gravity Constant","Newton,kilogram,second",$ \frac{ \textrm{N} \cdot \textrm{m}^2 }{ \textrm{kg}^2 } $,1,
Charlie,v,N_A,$N_A$,Avogadro's Number,Avogadro's constant is the number of particles in one mole of a given substance. This value is 6.022 x 10^23 1/mol,All,"avogadro's number,avogadro's constant,avogadro,avocado",mole,$ \frac{1}{ \textrm{mol} } $,1,
Charlie,v,e_0,$\epsilon_0$,electric constant (permitivity),"The physical constant ε0, commonly called the vacuum permittivity, permittivity of free space or electric constant, is an ideal, (baseline) physical constant, which is the value of the absolute (not relative) dielectric permittivity of classical vacuum. Its value is: 8.85 x 10^(-12) F/m (Farads per meter).",Electricity,"e,e0","Farad,meter",$ \frac{ \textrm{F} }{ \textrm{m} } $,1,
Nick,v,mu_0,$\mu_0$,magnetic constant (permeability of free space),"The physical constant μ0, commonly called the vacuum permeability, permeability of free space, or magnetic constant is an ideal, (baseline) physical constant, which is the value of magnetic permeability in a classical vacuum. Vacuum permeability is derived from production of a magnetic field by an electric current or by a moving electric charge and in all other formulas for magnetic-field production in a vacuum. µ0 = 4π×10^(−7) V·s/(A·m) ≈ 1.2566370614...×10^(−6) H/m or N·A^(−2) or T·m/A or Wb/(A·m)",Electricity,"mu,mu0,m,m0","Henry,meter",$ \frac{ \textrm{H} }{ \textrm{m} } $,1,
Nick,v,boltz constant,$\textrm{k}$,Boltzmann constant,"The Boltzmann constant (k or kB) is a physical constant relating energy at the individual particle level with temperature. It is the gas constant R divided by the Avogadro number. This constant is commonly used in the formula PV=NkT (where P is pressure, V is volume, N is number of particles, k is the Boltzman Constant, and T is temperature). The value of k is 1.3806488(13)×10^(−23) J/K = 8.6173324(78)×10^(−5) eV/K",Electricity,k,"Joule,Kelvin",$ \frac{ \textrm{J} }{ \textrm{K} } $,1,
Nick,v,elementary charge,$e$,Elementary charge,The elementary charge is equal to the electrical charge of a proton or neutron: 1.6 * 10^-19 C,Electricity,"e,electron charge,proton charge",Coulomb,$ \textrm{q} $,1,
Nick,v,electron mass,$m_e$,Electron mass,The electron mass is approximately 9.109 382 91 × 10^(−31) kg,All,"me, mass of electron",kilogram,$ \textrm{kg} $,1,
Nick,v,proton mass,$m_p$,Proton mass,The proton mass is approximately 1.672621777×10^(−27) kg,All,"mp, mass of proton",kilogram,$ \textrm{kg} $,1,
Charlie,v,a,$\vec{a}$,acceleration,The rate at which the velocity of an object is changing with respect to time,Mechanics,"dv/dt,dx^2/dt^2,vdot,xdotdot,xdoubledot,v.,x..","meter,second",$ \frac{ \textrm{m} }{ \textrm{s}^2 } $,1,
